IDP	nh2	phi
IDP-25403	-2.714617234074e-06	5.01567616619057e-05
IDP-25404	5.68225672425867e-06	5.85536356202384e-05
IDP-25405	5.27302426332725e-06	5.81444031593069e-05
IDP-25406	-9.53088417651658e-06	4.33404947194631e-05
IDP-25407	-1.07569463090754e-05	4.21144325869042e-05
IDP-25408	-1.91711604402521e-06	5.09542628519545e-05
IDP-25409	3.00262399979237e-06	5.58740028957721e-05
IDP-25410	-3.3422438010155e-06	4.95291350949642e-05
IDP-25411	-4.52211954754268e-06	4.8349259348437e-05
IDP-25412	2.03290818263153e-06	5.49042870786112e-05
IDP-25413	-1.25361750590951e-06	5.16177613900702e-05
IDP-25414	-1.76843679336107e-06	5.11029421026186e-05
IDP-25415	-3.15028511996171e-06	4.9721093776018e-05
IDP-25416	-7.05720408409143e-06	4.58141748118883e-05
IDP-25417	-3.9394687362964e-06	4.89319101596833e-05
IDP-25418	-5.37419735658127e-07	5.23339591603216e-05
IDP-25419	-3.95323509655006e-06	4.89181437994296e-05
IDP-25420	2.61303025127386e-06	5.54844091472535e-05
IDP-25421	3.07221552567647e-06	5.59435944216562e-05
IDP-25422	-3.68322748495572e-06	4.9188151411024e-05
IDP-25423	-7.50059587114899e-07	5.21213193088648e-05
IDP-25424	-4.92207730054971e-06	4.794930159543e-05
IDP-25425	-1.26260115562599e-06	5.16087777403537e-05
IDP-25426	1.52213969367829e-06	5.4393518589658e-05
IDP-25427	2.07324334606272e-07	5.30787032305859e-05
IDP-25428	-2.28521062340045e-06	5.05861682725792e-05
IDP-25429	1.7193093454175e-06	5.45906882413972e-05
IDP-25430	-3.42887389847816e-07	5.25284915061319e-05
IDP-25431	-1.08902827230146e-06	5.17823506236782e-05
IDP-25432	-6.46217497686526e-07	5.22251613982932e-05
IDP-25433	-6.14039497717147e-07	5.22573393982625e-05
IDP-25434	-4.84596568355464e-07	5.23867823276242e-05
IDP-25435	-5.52371188550814e-07	5.23190077074289e-05
IDP-25436	-4.72653560807231e-07	5.23987253351725e-05
IDP-25437	-1.3060555140774e-06	5.15653233819023e-05
IDP-25438	-1.46928524014038e-06	5.14020936558393e-05
IDP-25439	1.61184700554979e-06	5.44832259015295e-05
IDP-25440	2.08251216585728e-06	5.4953891061837e-05
IDP-25441	1.92750905279543e-06	5.47988879487751e-05
IDP-25442	3.96238330163253e-06	5.68337621976122e-05
IDP-25443	-7.50946136851552e-07	5.21204327591281e-05
IDP-25444	2.42406842905285e-06	5.52954473250325e-05
IDP-25445	-1.92291381151774e-06	5.09484650844619e-05
IDP-25446	4.21405121521628e-06	5.7085430111196e-05
IDP-25447	2.76893105200071e-06	5.56403099479804e-05
IDP-25448	6.21020480486381e-06	5.90815837008435e-05
IDP-25449	3.54398389319166e-06	5.64153627891713e-05
IDP-25450	3.98289745676522e-06	5.68542763527449e-05
IDP-25451	3.71908508030025e-06	5.65904639762799e-05
IDP-25452	1.93596131725435e-06	5.4807340213234e-05
IDP-25453	6.13932342373126e-06	5.90107023197109e-05
IDP-25454	5.18544048649497e-06	5.80568193824747e-05
IDP-25455	6.61596796195555e-06	5.94873468579352e-05
IDP-25456	3.21838764271198e-06	5.60897665386917e-05
IDP-25457	4.31587863831826e-06	5.71872575342979e-05
IDP-25458	4.0816153614342e-06	5.69529942574139e-05
IDP-25459	7.86655947502739e-06	6.07379383710071e-05
IDP-25460	5.89424279386373e-06	5.87656216898434e-05
IDP-25461	5.33291355166415e-06	5.82042924476438e-05
IDP-25462	8.50903789451757e-06	6.13804167904973e-05
IDP-25463	5.19025345814941e-06	5.80616323541291e-05
IDP-25464	8.80205347776774e-06	6.16734323737474e-05
IDP-25465	-1.05285688247395e-06	5.18185220135057e-05
IDP-25466	2.28511560584354e-06	5.51564945018232e-05
IDP-25467	5.91660926079332e-06	5.8787988156773e-05
IDP-25468	1.16348807434053e-06	5.40348669703202e-05
IDP-25469	1.52355082400612e-07	5.30237339783803e-05
IDP-25470	1.77667115743516e-07	5.30490460117232e-05
IDP-25471	6.08646324112779e-06	5.89578421371075e-05
IDP-25472	2.77282204675039e-06	5.56442009427301e-05
IDP-25473	9.4275193866066e-06	6.22988982825863e-05
IDP-25474	-1.27906237800232e-07	5.27434726581795e-05
IDP-25475	1.06420742833652e-06	5.39355863243162e-05
IDP-25476	-3.26163865350836e-06	4.96097402424713e-05
IDP-25477	6.50377284892842e-06	5.93751517449081e-05
IDP-25478	-6.00453110148905e-07	5.22709257858308e-05
IDP-25479	-9.5080269150575e-07	5.19205762044739e-05
IDP-25480	-1.22215583543302e-07	5.27491633124364e-05
IDP-25481	-2.08281653033589e-06	5.07885623656438e-05
IDP-25482	8.04038265580265e-06	6.09117615517823e-05
IDP-25483	-2.97564339795816e-06	4.98957354980215e-05
IDP-25484	1.04202396653046e-06	5.39134028625101e-05
IDP-25485	1.90113017350924e-06	5.47725090694889e-05
IDP-25486	2.35454246774732e-07	5.31068331427544e-05
IDP-25487	-8.58735078892529e-08	5.27855053880904e-05
IDP-25488	-7.65367452479569e-07	5.21060114435001e-05
IDP-25489	3.45241664716857e-06	5.63237955431483e-05
IDP-25490	-1.54894149005064e-06	5.1322437405929e-05
IDP-25491	8.41265614483062e-07	5.37126445104627e-05
IDP-25492	-4.48360207715047e-06	4.83877768188292e-05
IDP-25493	-1.33958397433742e-06	5.15317949216423e-05
IDP-25494	7.32365750571672e-06	6.01950364016964e-05
IDP-25495	6.75435842592922e-07	5.35468147385726e-05
IDP-25496	-3.61750940695373e-06	4.9253869489026e-05
IDP-25497	-1.06122909989536e-06	5.18101497960843e-05
IDP-25498	-4.60342158864265e-06	4.8267957307337e-05
IDP-25499	-7.60080353407145e-08	5.2795370860639e-05
IDP-25500	4.63012421438324e-06	5.75015031103629e-05
IDP-25501	4.49264631896545e-06	5.73640252149451e-05
IDP-25502	2.99935783744788e-06	5.58707367334276e-05
IDP-25503	8.11046854056641e-06	6.09818474365461e-05
IDP-25504	2.46189058010358e-06	5.53332694760833e-05
IDP-25505	-2.78709809260494e-06	5.00842808033747e-05
IDP-25506	5.54618892006263e-06	5.84175678160423e-05
IDP-25507	-1.79219847970241e-06	5.10791804162773e-05
IDP-25508	-1.92678518105793e-06	5.09445937149218e-05
IDP-25509	-8.38400366824632e-07	5.20329785291551e-05
IDP-25510	1.32922491511987e-06	5.42006038110996e-05
IDP-25511	-3.46717177482947e-06	4.94042071211502e-05
IDP-25512	-5.97485874174018e-06	4.68965201542395e-05
IDP-25513	-1.27138188064324e-06	5.15999970153365e-05
IDP-25514	-4.79191790063347e-07	5.23921871059163e-05
IDP-25650	2.52148162958351e-06	5.53928605255632e-05
IDP-25651	7.41194152948964e-07	5.36125730489286e-05
IDP-25652	-2.1018379179981e-06	5.07695409779816e-05
IDP-25653	-5.54910168309313e-07	5.23164687276704e-05
IDP-25654	-2.2653711655411e-07	5.26448417794256e-05
IDP-25655	1.02300436482539e-06	5.38943832608051e-05
IDP-25656	-8.70073134335702e-06	4.41706475526227e-05
IDP-25657	-4.71280261494155e-06	4.81585762810381e-05
IDP-25658	2.74232453964313e-06	5.56137034356228e-05
IDP-25659	2.35503879063188e-06	5.52264176866116e-05
IDP-25660	-5.17974086446512e-06	4.76916380315146e-05
